"sim.ID","param.name","param.stat","param.stat.val"
"SIM_sim_1_3_20251111_144358","Ef.specificity","mean",0
"SIM_sim_1_3_20251111_144358","IL","mean",1052.57894736842
"SIM_sim_1_3_20251111_144358","m","mean",0.05
"SIM_sim_1_3_20251111_144358","area.m2","sd",0
"SIM_sim_1_3_20251111_144358","JL","sd",0
"SIM_sim_1_3_20251111_144358","Ef","sd",0.304477168431621
"SIM_sim_1_3_20251111_144358","Ef.specificity","sd",0
"SIM_sim_1_3_20251111_144358","IL","sd",0
"SIM_sim_1_3_20251111_144358","m","sd",0
"SIM_sim_1_3_20251111_144358","trait.dispersal","mean",1
"SIM_sim_1_3_20251111_144358","trait.Ef","mean",0.564890768751502
"SIM_sim_1_3_20251111_144358","trait.Ef.sd","mean",0.01
"SIM_sim_1_3_20251111_144358","regional.RA","mean",0.1
"SIM_sim_1_3_20251111_144358","trait.dispersal","sd",0
"SIM_sim_1_3_20251111_144358","trait.Ef","sd",0.314958357921162
"SIM_sim_1_3_20251111_144358","trait.Ef.sd","sd",0
"SIM_sim_1_3_20251111_144358","regional.RA","sd",0
"SIM_sim_1_4_20251111_144408","n.sites","fixed_value",50
"SIM_sim_1_4_20251111_144408","n.timestep","fixed_value",100
"SIM_sim_1_4_20251111_144408","alpha.fisher","fixed_value",1
"SIM_sim_1_4_20251111_144408","nu.sim","fixed_value",0
"SIM_sim_1_4_20251111_144408","JM","fixed_value",1e+06
"SIM_sim_1_4_20251111_144408","W.r","fixed_value",10
"SIM_sim_1_4_20251111_144408","area.m2","mean",1
"SIM_sim_1_4_20251111_144408","JL","mean",20000
"SIM_sim_1_4_20251111_144408","Ef","mean",0.521654093656689
"SIM_sim_1_4_20251111_144408","Ef.specificity","mean",0
"SIM_sim_1_4_20251111_144408","IL","mean",1052.57894736842
"SIM_sim_1_4_20251111_144408","m","mean",0.05
"SIM_sim_1_4_20251111_144408","area.m2","sd",0
"SIM_sim_1_4_20251111_144408","JL","sd",0
"SIM_sim_1_4_20251111_144408","Ef","sd",0.304477168431621
"SIM_sim_1_4_20251111_144408","Ef.specificity","sd",0
"SIM_sim_1_4_20251111_144408","IL","sd",0
"SIM_sim_1_4_20251111_144408","m","sd",0
"SIM_sim_1_4_20251111_144408","trait.dispersal","mean",1
"SIM_sim_1_4_20251111_144408","trait.Ef","mean",0.552046333416365
"SIM_sim_1_4_20251111_144408","trait.Ef.sd","mean",0.01
"SIM_sim_1_4_20251111_144408","regional.RA","mean",0.1
"SIM_sim_1_4_20251111_144408","trait.dispersal","sd",0
"SIM_sim_1_4_20251111_144408","trait.Ef","sd",0.363675643767935
"SIM_sim_1_4_20251111_144408","trait.Ef.sd","sd",0
"SIM_sim_1_4_20251111_144408","regional.RA","sd",0
"SIM_sim_1_5_20251111_144417","n.sites","fixed_value",50
"SIM_sim_1_5_20251111_144417","n.timestep","fixed_value",100
"SIM_sim_1_5_20251111_144417","alpha.fisher","fixed_value",1
"SIM_sim_1_5_20251111_144417","nu.sim","fixed_value",0
"SIM_sim_1_5_20251111_144417","JM","fixed_value",1e+06
"SIM_sim_1_5_20251111_144417","W.r","fixed_value",1000
"SIM_sim_1_5_20251111_144417","area.m2","mean",1
"SIM_sim_1_5_20251111_144417","JL","mean",20000
"SIM_sim_1_5_20251111_144417","Ef","mean",0.521654093656689
"SIM_sim_1_5_20251111_144417","Ef.specificity","mean",0
"SIM_sim_1_5_20251111_144417","IL","mean",1052.57894736842
"SIM_sim_1_5_20251111_144417","m","mean",0.05
"SIM_sim_1_5_20251111_144417","area.m2","sd",0
"SIM_sim_1_5_20251111_144417","JL","sd",0
"SIM_sim_1_5_20251111_144417","Ef","sd",0.304477168431621
"SIM_sim_1_5_20251111_144417","Ef.specificity","sd",0
"SIM_sim_1_5_20251111_144417","IL","sd",0
"SIM_sim_1_5_20251111_144417","m","sd",0
"SIM_sim_1_5_20251111_144417","trait.dispersal","mean",1
"SIM_sim_1_5_20251111_144417","trait.Ef","mean",0.381657791836187
"SIM_sim_1_5_20251111_144417","trait.Ef.sd","mean",0.01
"SIM_sim_1_5_20251111_144417","regional.RA","mean",0.1
"SIM_sim_1_5_20251111_144417","trait.dispersal","sd",0
"SIM_sim_1_5_20251111_144417","trait.Ef","sd",0.323455626891491
"SIM_sim_1_5_20251111_144417","trait.Ef.sd","sd",0
"SIM_sim_1_5_20251111_144417","regional.RA","sd",0
"SIM_sim_1_6_20251111_144426","n.sites","fixed_value",50
"SIM_sim_1_6_20251111_144426","n.timestep","fixed_value",100
"SIM_sim_1_6_20251111_144426","alpha.fisher","fixed_value",1
"SIM_sim_1_6_20251111_144426","nu.sim","fixed_value",0
"SIM_sim_1_6_20251111_144426","JM","fixed_value",1e+06
"SIM_sim_1_6_20251111_144426","W.r","fixed_value",5e+06
"SIM_sim_1_6_20251111_144426","area.m2","mean",1
"SIM_sim_1_6_20251111_144426","JL","mean",20000
"SIM_sim_1_6_20251111_144426","Ef","mean",0.521654093656689
"SIM_sim_1_6_20251111_144426","Ef.specificity","mean",0
"SIM_sim_1_6_20251111_144426","IL","mean",1052.57894736842
"SIM_sim_1_6_20251111_144426","m","mean",0.05
"SIM_sim_1_6_20251111_144426","area.m2","sd",0
"SIM_sim_1_6_20251111_144426","JL","sd",0
"SIM_sim_1_6_20251111_144426","Ef","sd",0.304477168431621
"SIM_sim_1_6_20251111_144426","Ef.specificity","sd",0
"SIM_sim_1_6_20251111_144426","IL","sd",0
"SIM_sim_1_6_20251111_144426","m","sd",0
"SIM_sim_1_6_20251111_144426","trait.dispersal","mean",1
"SIM_sim_1_6_20251111_144426","trait.Ef","mean",0.429926447174512
"SIM_sim_1_6_20251111_144426","trait.Ef.sd","mean",0.01
"SIM_sim_1_6_20251111_144426","regional.RA","mean",0.1
"SIM_sim_1_6_20251111_144426","trait.dispersal","sd",0
"SIM_sim_1_6_20251111_144426","trait.Ef","sd",0.278749447724215
"SIM_sim_1_6_20251111_144426","trait.Ef.sd","sd",0
"SIM_sim_1_6_20251111_144426","regional.RA","sd",0
"SIM_sim_2_1_20251111_144436","n.sites","fixed_value",50
"SIM_sim_2_1_20251111_144436","n.timestep","fixed_value",100
"SIM_sim_2_1_20251111_144436","alpha.fisher","fixed_value",1
"SIM_sim_2_1_20251111_144436","nu.sim","fixed_value",0
"SIM_sim_2_1_20251111_144436","JM","fixed_value",1e+06
"SIM_sim_2_1_20251111_144436","W.r","fixed_value",0
"SIM_sim_2_1_20251111_144436","area.m2","mean",1
"SIM_sim_2_1_20251111_144436","JL","mean",20000
"SIM_sim_2_1_20251111_144436","Ef","mean",0.521654093656689
"SIM_sim_2_1_20251111_144436","Ef.specificity","mean",0
"SIM_sim_2_1_20251111_144436","IL","mean",1052.57894736842
"SIM_sim_2_1_20251111_144436","m","mean",0.05
"SIM_sim_2_1_20251111_144436","area.m2","sd",0
"SIM_sim_2_1_20251111_144436","JL","sd",0
"SIM_sim_2_1_20251111_144436","Ef","sd",0.304477168431621
"SIM_sim_2_1_20251111_144436","Ef.specificity","sd",0
"SIM_sim_2_1_20251111_144436","IL","sd",0
"SIM_sim_2_1_20251111_144436","m","sd",0
"SIM_sim_2_1_20251111_144436","trait.dispersal","mean",1
"SIM_sim_2_1_20251111_144436","trait.Ef","mean",0.323682034597732
"SIM_sim_2_1_20251111_144436","trait.Ef.sd","mean",0.1
"SIM_sim_2_1_20251111_144436","regional.RA","mean",0.1
"SIM_sim_2_1_20251111_144436","trait.dispersal","sd",0
"SIM_sim_2_1_20251111_144436","trait.Ef","sd",0.201216073418628
"SIM_sim_2_1_20251111_144436","trait.Ef.sd","sd",0
"SIM_sim_2_1_20251111_144436","regional.RA","sd",0
"SIM_sim_2_2_20251111_144446","n.sites","fixed_value",50
"SIM_sim_2_2_20251111_144446","n.timestep","fixed_value",100
"SIM_sim_2_2_20251111_144446","alpha.fisher","fixed_value",1
"SIM_sim_2_2_20251111_144446","nu.sim","fixed_value",0
"SIM_sim_2_2_20251111_144446","JM","fixed_value",1e+06
"SIM_sim_2_2_20251111_144446","W.r","fixed_value",2
"SIM_sim_2_2_20251111_144446","area.m2","mean",1
"SIM_sim_2_2_20251111_144446","JL","mean",20000
"SIM_sim_2_2_20251111_144446","Ef","mean",0.521654093656689
"SIM_sim_2_2_20251111_144446","Ef.specificity","mean",0
"SIM_sim_2_2_20251111_144446","IL","mean",1052.57894736842
"SIM_sim_2_2_20251111_144446","m","mean",0.05
"SIM_sim_2_2_20251111_144446","area.m2","sd",0
"SIM_sim_2_2_20251111_144446","JL","sd",0
"SIM_sim_2_2_20251111_144446","Ef","sd",0.304477168431621
"SIM_sim_2_2_20251111_144446","Ef.specificity","sd",0
"SIM_sim_2_2_20251111_144446","IL","sd",0
"SIM_sim_2_2_20251111_144446","m","sd",0
